date,temperature,rainfall,humidity
2024-01-01,14.5,0.0,72
2024-01-02,15.2,0.0,70
2024-01-03,16.0,1.2,75
2024-01-04,17.4,0.0,68
2024-01-05,18.1,0.5,80
2024-01-06,19.0,0.0,65
2024-01-07,20.5,2.1,85
2024-01-08,21.2,0.0,60
2024-01-09,22.8,0.3,78
2024-01-10,23.5,0.0,62
2024-02-01,24.0,1.0,70
2024-02-02,25.5,0.0,65
2024-02-03,26.3,0.0,60
2024-02-04,27.0,0.5,72
2024-02-05,28.1,0.0,68
2024-03-01,29.0,1.3,75
2024-03-02,30.2,0.0,62
2024-03-03,31.5,0.8,80
2024-03-04,32.0,0.0,70
2024-03-05,33.1,0.0,65
2024-04-01,34.0,5.5,90
2024-04-02,35.2,12.3,95
2024-04-03,36.5,3.2,85
2024-04-04,37.0,0.0,60
2024-04-05,38.1,0.0,55
